0	125.00	50.00
1	12.37	9.38
2	34.24	88.74
3	78.11	33.55
4	54.21	28.76
5	28.20	44.04
6	84.25	38.11
7	31.22	22.97
8	83.26	70.91
9	8.65	6.79
10	84.49	68.76
11	7.67	44.95
12	17.36	3.93
13	69.45	63.05
14	47.60	63.14
15	88.40	97.12
16	71.95	34.19
17	77.72	76.76
18	12.30	20.40
19	79.04	73.60
20	16.16	48.55
21	80.03	99.51
22	84.95	54.84
23	32.86	33.80
24	19.96	30.19
25	98.35	82.42
26	96.95	81.60
27	76.11	24.00
28	54.58	19.42
29	19.27	76.94
30	9.36	11.40
31	73.77	30.12
32	90.52	54.43
33	27.06	15.52
34	21.53	1.99
35	98.63	65.28
36	62.23	51.37
37	55.68	88.19
38	65.27	38.33
39	91.43	20.65
40	93.49	9.00
41	60.35	56.08
42	91.38	38.93
43	25.21	33.13
44	2.84	47.23
45	34.02	67.87
46	79.93	10.42
47	11.46	48.30
48	33.00	14.62
49	19.06	70.12
50	31.12	97.85
51	11.18	82.26
52	73.60	24.45
53	89.62	27.71
54	18.38	2.79
55	38.72	10.76
56	71.15	4.25
57	5.09	95.11
58	10.10	66.62
59	71.10	39.23
60	45.64	68.34
61	59.92	4.77
62	91.98	41.16
63	1.03	32.21
64	57.68	48.47
65	80.35	63.43
66	46.39	94.08
67	96.14	5.61
68	95.48	41.96
69	43.33	72.54
70	70.42	21.15
71	52.65	10.48
72	75.70	62.42
73	18.02	13.66
74	39.37	62.76
75	56.15	61.60
76	77.46	2.64
77	55.36	64.96
78	47.21	46.85
79	87.48	89.61
80	53.40	44.42
81	75.99	39.77
82	80.71	5.67
83	36.57	20.01
84	87.24	75.20
85	31.95	63.28
86	8.79	38.42
87	12.10	7.73
88	91.75	96.18
89	42.62	28.24
90	93.93	17.28
91	60.01	80.61
92	66.32	31.70
93	30.14	95.90
94	57.02	58.88
95	28.50	70.43
96	58.35	74.70
97	4.81	33.00
98	52.50	8.63
99	42.70	34.94
